PAGES 2k ID,ocean 2k ID,preceded by,superseded by,archive type,reference 1 doi,reference 2 doi,original data URL,lat (°),long (°),elevation (m),site name,Country/Ocean,min year,max year,resolution (yr),proxy,variable name,units,climate variable detail,seasonality,direction,QC comments,QC certification,link to data at WDC-paleo
Asi_068,,,,tree,10.1360/03wd0088,,https://www.ncdc.noaa.gov/paleo/study/15158,33.72,96.28,3800,ZHIDJP,China,1374,2002,1,TRW,trsgi,NA,air@surface,4 5 6,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-ZHIDJP.Shao.2003.txt
Asi_069,,,,tree,10.1126/science.1185188,,https://www.ncdc.noaa.gov/paleo/study/14188,34.63,104.47,2900,ZHANGX,China,1568,2006,1,TRW,trsgi,NA,air@surface,annual,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-ZHANGX.PAGES2k.2010.txt
Asi_070,,,,tree,10.1126/science.1185188,,https://www.ncdc.noaa.gov/paleo/study/12596,28.9,99.75,3500,CHIN017,China,1452,2007,1,TRW,trsgi,NA,air@surface,annual,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN017.Li.2010.txt
Asi_071,,,,tree,10.1126/science.1185188,,https://www.ncdc.noaa.gov/paleo/study/12595,31.78,101.92,3900,CHIN016,China,1575,2007,1,TRW,trsgi,NA,air@surface,annual,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN016.Li.2010.txt
Asi_072,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,27.37,99.37,3800,PTCYUN,China,1498,2007,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-PTCYUN.PAGES2k.2013.txt
Asi_073,,,,tree,10.1126/science.1185188,,https://www.ncdc.noaa.gov/paleo/study/12608,27.33,99.3,3800,CHIN027,China,1348,2007,1,TRW,trsgi,NA,air@surface,annual,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-WEXYUN.Wright.2010.txt
Asi_074,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,43.18,87.18,3400,HXBURU,China,1543,1993,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-HXBURU.PAGES2k.2013.txt
Asi_075,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,35,100.07,3400,DQHZHO,China,1433,2004,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-DQHZHO.PAGES2k.2013.txt
Asi_076,,,,tree,10.1126/science.1185188,,https://www.ncdc.noaa.gov/paleo/study/12607,27.62,99.8,2900,CHIN026,China,1516,2007,1,TRW,trsgi,NA,air@surface,annual,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN026.Wright.2010.txt
Asi_077,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,38.7,99.68,5600,HYGJUP,China,540,2006,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-HYGJUP.PAGES2k.2013.txt
