ID,Location Name,Latitude,Longitude,Date,Annual Rainfall (mm),Annual Avg Rainfall (mm)
107,SUTHERLAND SOUTH AFRI(SOUTH AFRICA),-32.38N,20.67E,1883-9-01,201.0,248.2969
108,SUTHERLAND SOUTH AFRI(SOUTH AFRICA),-32.38N,20.67E,1884-9-01,270.0,248.2969
109,BRAKFONTEIN SOUTH AFRI(SOUTH AFRICA),-31.88N,23.05E,1882-9-01,110.0,234.9368
110,BRAKFONTEIN SOUTH AFRI(SOUTH AFRICA),-31.88N,23.05E,1883-9-01,254.0,234.9368
111,BRAKFONTEIN SOUTH AFRI(SOUTH AFRICA),-31.88N,23.05E,1884-9-01,209.0,234.9368
112,FRASERBURG ROAD SOUTH AFRI(SOUTH AFRICA),-32.70N,21.90E,1882-9-01,126.0,129.757
113,FRASERBURG ROAD SOUTH AFRI(SOUTH AFRICA),-32.70N,21.90E,1883-9-01,124.0,129.757
114,FRASERBURG ROAD SOUTH AFRI(SOUTH AFRICA),-32.70N,21.90E,1884-9-01,106.0,129.757
116,GRAAF REINET (TNK) SOUTH AFRI(SOUTH AFRICA),-32.25N,24.53E,1883-9-01,232.5,337.0979
118,ABERDEEN - HOSP SOUTH AFRI(SOUTH AFRICA),-32.48N,24.07E,1882-9-01,299.0,282.428
119,ABERDEEN - HOSP SOUTH AFRI(SOUTH AFRICA),-32.48N,24.07E,1883-9-01,380.0,282.428
120,ABERDEEN - HOSP SOUTH AFRI(SOUTH AFRICA),-32.48N,24.07E,1884-9-01,228.0,282.428
123,MURRAYSBURG (POL) SOUTH AFRI(SOUTH AFRICA),-31.95N,23.75E,1884-9-01,274.6,282.9884
124,SOMERSET EAST (TNK) SOUTH AFRI(SOUTH AFRICA),-32.72N,25.58E,1882-9-01,574.7,600.3105
125,SOMERSET EAST (TNK) SOUTH AFRI(SOUTH AFRICA),-32.72N,25.58E,1883-9-01,530.6,600.3105
126,SOMERSET EAST (TNK) SOUTH AFRI(SOUTH AFRICA),-32.72N,25.58E,1884-9-01,581.4,600.3105
